Game Title,HollowPoiint Videos,Sample Video URL,Sample Video Title,Steam URL,Steam App ID,Price (USD),Genres,Categories,Developer,Publisher,AAA / Indie,Steam Deck,Release Date,Review Count,Metacritic,Short Description,Platforms
Demon's Souls Remake,3,https://youtube.com/watch?v=XeWbNrxP0YU,Demon's Souls Remake - Part 3 - THE TOWER KNIGHT HAS HUMILIATED ME (PS5 Gameplay),,,,,,,,,,,,,,
The Walking Dead The Final Season,3,https://youtube.com/watch?v=m9CPfVxkskA,The Walking Dead The Final Season Episode 1 ENDING (Part 3),https://store.steampowered.com/app/866800,866800,$19.99,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing",Telltale Games,Skybound Games,Indie,Verified,"Aug 13, 2018","16,988 reviews",77,"A secluded school might finally be Clementine’s chance for a home, but protecting it will mean sacrifice.",Windows
Into The Dead Our Darkest Days,2,https://youtube.com/watch?v=2AS48Wu9Ad4,Into The Dead Our Darkest Days (Full Game) HELICOPTER ESCAPE,https://store.steampowered.com/app/2239710,2239710,$24.99,"Action, Simulation, Strategy, Early Access","Single-player, Full controller support, Family Sharing",PikPok,"Boltray Games (China), PikPok (worldwide)",Indie,Playable,"Apr 9, 2025","7,439 reviews",,"Texas, 1980. Walton City has fallen to a zombie outbreak. Lead a band of desperate survivors from refuge to refuge by scavenging, crafting, and fighting in a relentless struggle for survival. Plan wis","Windows, Mac"
The Mortuary Assistant,2,https://youtube.com/watch?v=bOcWc_aZwVY,The Mortuary Assistant - “GAMEOVER” Ending,https://store.steampowered.com/app/1295920,1295920,$24.99,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",DarkStone Digital,DreadXP,AAA,Verified,"Aug 2, 2022","6,992 reviews",,"Alone with the dead... Embalm corpses, banish demons, save your soul.",Windows
Beyond Two Souls,2,https://youtube.com/watch?v=SmcHF_Y3pSs,Beyond Two Souls - Part 5 - THE DEMON SPIRIT,https://store.steampowered.com/app/960990,960990,$19.99,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",Quantic Dream,Quantic Dream,AAA,Verified,"Jun 18, 2020","33,587 reviews",76,"A unique psychological action thriller delivered by A-list Hollywood performances by Elliot Page and Willem Dafoe, Beyond: Two Souls takes you on a thrilling journey across the globe as you play out t",Windows
Amnesia: Rebirth,2,https://youtube.com/watch?v=ggsofjk31CE,Amnesia: Rebirth - Part 2 - THE FIRST ENCOUNTER WITH A GHOUL,https://store.steampowered.com/app/999220,999220,$29.99,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing",Frictional Games,Frictional Games,AA,Verified,"Oct 20, 2020","7,758 reviews",80,"A first-person horror adventure. Uncover your past and survive the Algerian desert. Fear is your enemy; stay calm to not succumb to an illness threatening you and your loved one. Avoid darkness, hide ","Windows, Linux"
Taken,2,https://youtube.com/watch?v=LJgQVCA_xkY,TAKEN | The Beast Inside - Part 8,https://store.steampowered.com/app/3035120,3035120,$9.99,"Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Touch Only Option, Steam Cloud, Family Sharing",Poti Poti Studio,Wholesome Games Presents,Indie,Verified,"Aug 7, 2025","7,374 reviews",79,Is This Seat Taken? is a logic puzzle game where you play matchmaker for groups of hilariously particular people. Each character has pet peeves that make seating them a delightful challenge. Find the ,"Windows, Mac, Linux"
Alone in the Forest,2,https://youtube.com/watch?v=EyhyhwHBrAo,ALONE IN THE FOREST | Do You Copy,https://store.steampowered.com/app/852590,852590,Free,"Action, Indie, Free To Play","Single-player, Tracked Controller Support, VR Only",Ovidiu Chis,Ovidiu Chis,Indie,Unsupported,"May 17, 2018",No reviews,,"Explore the forest, solve the puzzles, start the generators and call for help. Use the flashlight to defend yourself from the 'thing' that tries to kill you.",Windows
SOMA,2,https://youtube.com/watch?v=Db9vrNIDi0Q,SOMA #2 - He's CHASING ME!,https://store.steampowered.com/app/282140,282140,$29.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",Frictional Games,Frictional Games,AA,Verified,"Sep 21, 2015","44,552 reviews",84,"From the creators of Amnesia: The Dark Descent comes SOMA, a sci-fi horror game set below the waves of the Atlantic ocean. Struggle to survive a hostile world that will make you question your very exi","Windows, Mac, Linux"
Cronos The New Dawn,2,https://youtube.com/watch?v=ApETYHFs7vs,Cronos The New Dawn - Part 1 - A NEW POST APOCALYPTIC HORROR..,https://store.steampowered.com/app/2101960,2101960,$59.99,Action,"Single-player, Steam Achievements, Full controller support, Steam Cloud, HDR available, Family Sharing",Bloober Team,Bloober Team SA,AAA,Verified,"Sep 5, 2025","6,435 reviews",,"A whole new breed of survival horror emerges with Cronos: The New Dawn. Survive the brutal wastelands of the future, fight nightmarish merging creatures and jump back in time to harvest souls as you s","Windows, Linux"
Still Wakes The Deep,2,https://youtube.com/watch?v=_ETg4P7J-E0,Still Wakes The Deep: Sirens Rest - FULL GAME,https://store.steampowered.com/app/1622910,1622910,$34.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud, HDR available, Family Sharing",The Chinese Room,Secret Mode,AA,Playable,"Jun 18, 2024","9,372 reviews",77,1975. Disaster strikes the Beira D oil rig off the coast of Scotland. Navigate the collapsing rig to save your crew from an otherworldly horror on the edge of all logic and reality in this 3x BAFTA Ga,Windows
A Cinematic Horror Set in the Appalachian Forest,1,https://youtube.com/watch?v=E8tvr9pjggc,A Cinematic Horror Set in the Appalachian Forest..,,,,,,,,,,,,,,
A Horror Game Where You Go Camping Deep Into a State Park,1,https://youtube.com/watch?v=dxGniExOkJE,A Horror Game Where You Go Camping Deep Into a State Park..,,,,,,,,,,,,,,
Grandma's House Should’ve Been Abandoned,1,https://youtube.com/watch?v=ZOo1VsbkTRY,Grandma's House Should’ve Been Abandoned..,,,,,,,,,,,,,,
A cozy lake fishing horror,1,https://youtube.com/watch?v=t_4hmui0FpU,A cozy lake fishing horror..,,,,,,,,,,,,,,
The Tall man Tapes,1,https://youtube.com/watch?v=pa0oLIqi9_U,The Tall man Tapes..,https://store.steampowered.com/app/3369940,3369940,$9.99,"Adventure, Indie","Single-player, Partial Controller Support, Family Sharing",Brandino Games,Brandino Games,Indie,Unknown,"Feb 23, 2026",No reviews,,The Tall Man Tapes is a found footage inspired horror game. You're a UFO investigator trying to get to the bottom of a mystery. Will you learn the truth and escape with your life?,Windows
Resident Evil 6,1,https://youtube.com/watch?v=OTo9I7T1v8Y,I Finally Played Resident Evil 6 After Requiem..,https://store.steampowered.com/app/221040,221040,$19.99,"Action, Adventure","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Valve Anti-Cheat enabled, Steam Leaderboards, Remote Play Together, Family Sharing",Capcom,Capcom,AAA,Verified,"Mar 21, 2013","46,171 reviews",69,"Blending action and survival horror, Resident Evil 6 promises to be the dramatic horror experience of 2013.",Windows
Creepy Late Night Shift at Uncle Joe's Motel,1,https://youtube.com/watch?v=kjgnBo5aR0E,Creepy Late Night Shift at Uncle Joe's Motel..,,,,,,,,,,,,,,
A Park Rangers Final Night Shift,1,https://youtube.com/watch?v=SQOYnIR4Zjc,A Park Rangers Final Night Shift..,,,,,,,,,,,,,,
Steam Recommended This New Body-Cam Horror,1,https://youtube.com/watch?v=R0F7oxJ8Log,Steam Recommended This New Body-Cam Horror..,,,,,,,,,,,,,,
Locals Say People Have Been Disappearing Deep in these Woods,1,https://youtube.com/watch?v=SdBp-ZV3b9A,Locals Say People Have Been Disappearing Deep in these Woods..,,,,,,,,,,,,,,
This Hyper-Realistic Horror Just Unlocked a New Fear,1,https://youtube.com/watch?v=IW4e6wFNoG8,This Hyper-Realistic Horror Just Unlocked a New Fear..,,,,,,,,,,,,,,
A Chilling New Open World Fishing Horror From Chilla's Art,1,https://youtube.com/watch?v=kGmfNuBHAd4,A Chilling New Open World Fishing Horror From Chilla's Art..,,,,,,,,,,,,,,
This horror game had me on a CHOKEHOLD,1,https://youtube.com/watch?v=R00-2Gaa0uY,This horror game had me on a CHOKEHOLD..,,,,,,,,,,,,,,
Resident Evil 2 Remake,1,https://youtube.com/watch?v=3Mp3elx2XHU,Resident Evil 2 Remake - FULL GAME,https://store.steampowered.com/app/883710,883710,$39.99,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Remote Play on TV, HDR available, Family Sharing","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",AAA,Verified,"Jan 24, 2019","139,651 reviews",89,"A deadly virus engulfs the residents of Raccoon City in September of 1998, plunging the city into chaos as flesh eating zombies roam the streets for survivors. An unparalleled adrenaline rush, grippin",Windows
I Took a Night Shift at a 24-Hour Store Where Customers are Not Human,1,https://youtube.com/watch?v=jpOW6n2lL5E,I Took a Night Shift at a 24-Hour Store Where Customers are Not Human.. | HELLMART,,,,,,,,,,,,,,
A Horror Game Where You Run A Photo Studio,1,https://youtube.com/watch?v=BnakKNzsf0M,A Horror Game Where You Run A Photo Studio..,,,,,,,,,,,,,,
Resident Evil 1 Remake,1,https://youtube.com/watch?v=-5oEz8rlpew,Resident Evil 1 Remake - FULL GAME,https://store.steampowered.com/app/4249100,4249100,$9.99,"Action, Adventure","Single-player, Custom Volume Controls, Keyboard Only Option, Partial Controller Support, Family Sharing","CAPCOM Co., Ltd., GOG.com","CAPCOM Co., Ltd.",AAA,Unknown,"Apr 1, 2026",195 reviews,,"Your squad has been choppered to a remote mansion to investigate a bio-experiment gone wrong. You’re plunged straight into a deathtrap. Arm yourself, solve puzzles, and unearth mysteries. But beware: ",Windows
The most disturbing chinese horror game I've played,1,https://youtube.com/watch?v=0Duttf78-74,The most disturbing chinese horror game I've played..,,,,,,,,,,,,,,
Working The Cemetery Shift Was a Mistake,1,https://youtube.com/watch?v=oiP8rJKJghA,Working The Cemetery Shift Was a Mistake..,,,,,,,,,,,,,,
The 1993 Missing Family Case,1,https://youtube.com/watch?v=zN_N96CZTp8,The 1993 Missing Family Case..,,,,,,,,,,,,,,
Working Late Nightshift on a Fishing Boat,1,https://youtube.com/watch?v=KWzlgqUrUqw,Working Late Nightshift on a Fishing Boat.. | Voyage,,,,,,,,,,,,,,
A Game About The Dark Side of Social Media,1,https://youtube.com/watch?v=qyBuxDJOE7Q,A Game About The Dark Side of Social Media.. | Brokenlore Unfollow (Full Game),,,,,,,,,,,,,,
I Returned to the Island Where My Father Disappeared,1,https://youtube.com/watch?v=Z26EHKazsJo,I Returned to the Island Where My Father Disappeared..,,,,,,,,,,,,,,
They Released a New Action Survival Horror,1,https://youtube.com/watch?v=BxvWNfeQEQo,They Released a New Action Survival Horror..,,,,,,,,,,,,,,
Working Late For The Holidays,1,https://youtube.com/watch?v=9M1UW5RSVsY,Working Late For The Holidays..,,,,,,,,,,,,,,
I took a vacation in a cozy cottage but I was not alone,1,https://youtube.com/watch?v=zLnejrFuTUk,I took a vacation in a cozy cottage but I was not alone..,,,,,,,,,,,,,,
This game was flat out DIABOLICAL,1,https://youtube.com/watch?v=fwBXClaDUeU,This game was flat out DIABOLICAL..,,,,,,,,,,,,,,
Play as a prisoner who must play a deadly game of Russian Roulette in order to escape,1,https://youtube.com/watch?v=NKYbuiqiyS4,Play as a prisoner who must play a deadly game of Russian Roulette in order to escape..,,,,,,,,,,,,,,
I've never felt this uncomfortable playing a game,1,https://youtube.com/watch?v=vhG91KJilIg,I've never felt this uncomfortable playing a game.. | No Means Nothing,,,,,,,,,,,,,,
Routine,1,https://youtube.com/watch?v=Lxxqm45JQBw,ROUTINE - An Ultra-Realistic Horror Game Set on an Abandoned Moon Base..,https://store.steampowered.com/app/606160,606160,$24.99,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Lunar Software,Raw Fury,Indie,Playable,"Dec 4, 2025","5,502 reviews",79,ROUTINE is a First Person Sci-Fi Horror set on an abandoned lunar base designed around an 80s vision of the future. Explore and investigate your surroundings as you survive against unknown threats.,Windows
The Lighthouse Murder Case,1,https://youtube.com/watch?v=pCxiHEhqGcc,The Lighthouse Murder Case..,,,,,,,,,,,,,,
The haunted farm house,1,https://youtube.com/watch?v=RVm9OmxPzg0,The haunted farm house..,,,,,,,,,,,,,,
A Quiet Motel Getaway With Babe Turns Deadly,1,https://youtube.com/watch?v=HJgdJpvj8EY,A Quiet Motel Getaway With Babe Turns Deadly..,,,,,,,,,,,,,,
The Craziest Horror Game I’ve Played This Year…,1,https://youtube.com/watch?v=uo35wUOsdMU,The Craziest Horror Game I’ve Played This Year…,,,,,,,,,,,,,,
I'm Exhausted After This One,1,https://youtube.com/watch?v=Vj7El6SA5xQ,I'm Exhausted After This One..,,,,,,,,,,,,,,
A Disturbing Horror Game About a Family Haunted by the Paranormal,1,https://youtube.com/watch?v=xtq6U8ZDczU,A Disturbing Horror Game About a Family Haunted by the Paranormal..,,,,,,,,,,,,,,
A Horror Game About Being Abandoned in Deep Space,1,https://youtube.com/watch?v=NkZaRjCkfok,A Horror Game About Being Abandoned in Deep Space..,,,,,,,,,,,,,,
A HORROR GAME WHERE YOU CONSUME BRAINROT CONTENT AND GO CRAZY,1,https://youtube.com/watch?v=PaGLMruKbGw,A HORROR GAME WHERE YOU CONSUME BRAINROT CONTENT AND GO CRAZY.. - The Salesman,,,,,,,,,,,,,,
THIS JAPANESE HORROR GAME IS PURE CINEMA,1,https://youtube.com/watch?v=MwnayUQ1r6M,THIS JAPANESE HORROR GAME IS PURE CINEMA - Junji Ito Maniac An Infinite Gaol (ALL ENDINGS),,,,,,,,,,,,,,
A Freaky Night With Babe,1,https://youtube.com/watch?v=NZDkQAEEKn8,A Freaky Night With Babe..,,,,,,,,,,,,,,
Working Nightshift at the Arcade,1,https://youtube.com/watch?v=aHr6QA2zKHM,Working Nightshift at the Arcade..,,,,,,,,,,,,,,
They Made A Filipino Horror Game Based on True Events,1,https://youtube.com/watch?v=nyMMc9ZoJcw,They Made A Filipino Horror Game Based on True Events..,,,,,,,,,,,,,,
This was an unhealthy amount of jumpscares,1,https://youtube.com/watch?v=g1qfEVB_3o0,This was an unhealthy amount of jumpscares..,,,,,,,,,,,,,,
This Hyper-Realistic Horror Game Just Blew My Mind,1,https://youtube.com/watch?v=U3jtkhX9TGw,This Hyper-Realistic Horror Game Just Blew My Mind..,,,,,,,,,,,,,,
This is the most demonic horror game I've ever played,1,https://youtube.com/watch?v=k0Vxw1zd0xU,This is the most demonic horror game I've ever played..,,,,,,,,,,,,,,
This game just destroyed me,1,https://youtube.com/watch?v=hIvCLYkMpBw,This game just destroyed me..,,,,,,,,,,,,,,
A Halloween Home Invasion Horror,1,https://youtube.com/watch?v=ErXKdtXSztQ,A Halloween Home Invasion Horror..,,,,,,,,,,,,,,
A Game Based on a True Serial Killer Case,1,https://youtube.com/watch?v=_eZLnoxMckA,A Game Based on a True Serial Killer Case...,,,,,,,,,,,,,,
This PT Inspired Horror Game is Diabolical,1,https://youtube.com/watch?v=XNb4ZROqcjE,This PT Inspired Horror Game is Diabolical..,,,,,,,,,,,,,,
Working The Supermarket..But The Customers Are NOT HUMAN,1,https://youtube.com/watch?v=PmHyTSUfYK0,Working The Supermarket..But The Customers Are NOT HUMAN..,,,,,,,,,,,,,,
Puppet Combo’s Skinfreak,1,https://youtube.com/watch?v=EiZtGGemxwM,Puppet Combo’s Skinfreak - FULL GAME,,,,,,,,,,,,,,
Gas Station Night Shift Gone Wrong,1,https://youtube.com/watch?v=tdD56bpIy_U,Gas Station Night Shift Gone Wrong..,,,,,,,,,,,,,,
A Camcorder Horror Where You Investigate a Missing Students Case,1,https://youtube.com/watch?v=57oXC1p1zxE,A Camcorder Horror Where You Investigate a Missing Students Case..,,,,,,,,,,,,,,
Little Nightmares 3,1,https://youtube.com/watch?v=btP48tys0MU,Little Nightmares 3 Had Me Stressed Out..,https://store.steampowered.com/app/1392860,1392860,$39.99,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing",Supermassive Games,Bandai Namco Entertainment,AAA,Verified,"Oct 9, 2025","9,396 reviews",,"Little Nightmares III is an atmospheric adventure game in which you follow the journey of Low and Alone, two best friends in search of a way out of the Nowhere. In 2 players online cooperation or solo",Windows
I Just Moved Into a New Apartment..But The Landlord is a FREAK,1,https://youtube.com/watch?v=vgq9omcpYGk,I Just Moved Into a New Apartment..But The Landlord is a FREAK,,,,,,,,,,,,,,
They Made A New Michael Myers Horror Game,1,https://youtube.com/watch?v=Z4ZObFe1Y-o,They Made A New Michael Myers Horror Game..,,,,,,,,,,,,,,
I Took A Park Ranger Job to Investigate the Missing Hikers,1,https://youtube.com/watch?v=_j_7Egoxf_8,I Took A Park Ranger Job to Investigate the Missing Hikers..,,,,,,,,,,,,,,
This Lighthouse Keeper Horror Game Gave Me Chills,1,https://youtube.com/watch?v=Gys2s9vszGs,This Lighthouse Keeper Horror Game Gave Me Chills..,,,,,,,,,,,,,,
"Working the Nightshift, But He Followed Me Home",1,https://youtube.com/watch?v=_1iLjPIV2PQ,"Working the Nightshift, But He Followed Me Home..",,,,,,,,,,,,,,
Something is Wrong With Grandpa's Cabin,1,https://youtube.com/watch?v=5AlN6GfqCxI,Something is Wrong With Grandpa's Cabin..,,,,,,,,,,,,,,
Power Drill Massacre,1,https://youtube.com/watch?v=43wxYmokAXU,The Power Drill Massacre is Actually TERRIFYING..,https://store.steampowered.com/app/2027030,2027030,,"Action, Adventure","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",Puppet Combo,Puppet Combo,Indie,Unknown,To be announced,No reviews,,"A DRILLING good time!... a VHS era, Lowpoly Slasher",Windows
Face of Another,1,https://youtube.com/watch?v=BSZMvkAmtzQ,Face of Another - A Great Horror Game..,https://store.steampowered.com/app/3272170,3272170,$6.99,"Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Family Sharing",MadBug Studio,MadBug Studio,Indie,Playable,"Aug 20, 2025",129 reviews,,"Use your phone to survive the horrors, capture clues, and solve puzzles in this first-person psychological horror experience. Trapped inside a warped digital nightmare by a mysterious entity, you must",Windows
A Horror Game That Knows when You BLINK,1,https://youtube.com/watch?v=g-MLnd8aGQM,A Horror Game That Knows when You BLINK..,,,,,,,,,,,,,,
A Horror Game Where 5 Friends Take Their Last Road Trip,1,https://youtube.com/watch?v=wseklMTE2pM,A Horror Game Where 5 Friends Take Their Last Road Trip..,,,,,,,,,,,,,,
An Incredible New Bodycam Horror Game,1,https://youtube.com/watch?v=7vMh1PAE3Kw,An Incredible New Bodycam Horror Game..,,,,,,,,,,,,,,
Five Nights at Freddy's,1,https://youtube.com/watch?v=_ri8eG_Jspk,I Finally Played Five Nights at Freddys and I MAY NEVER RECOVER..,https://store.steampowered.com/app/319510,319510,$4.99,"Indie, Simulation","Single-player, Family Sharing",Scott Cawthon,Scott Cawthon,Indie,Verified,"Aug 19, 2014","52,139 reviews",78,"Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food! The main attraction is Freddy Fazbear, of course; and his two friends. They are ",Windows
I Shouldn’t Have Stayed The Night Here,1,https://youtube.com/watch?v=HKFM2621Ovw,I Shouldn’t Have Stayed The Night Here..,,,,,,,,,,,,,,
IM DONE thats enough horror for me,1,https://youtube.com/watch?v=kKRkHlSvs2c,IM DONE thats enough horror for me..,,,,,,,,,,,,,,
This is the THE BEST Backrooms Game I've Ever Played,1,https://youtube.com/watch?v=6DFC4K0YLNA,This is the THE BEST Backrooms Game I've Ever Played..,,,,,,,,,,,,,,
I cant take it,1,https://youtube.com/watch?v=qOiRDvU07Do,I cant take it..,,,,,,,,,,,,,,
I hate it here,1,https://youtube.com/watch?v=2yD_BgPzb7k,I hate it here..,,,,,,,,,,,,,,
Working as a Night Shift Park Ranger,1,https://youtube.com/watch?v=p8BdqOAPMgY,Working as a Night Shift Park Ranger..,,,,,,,,,,,,,,
SkinFREAK (Puppet Combo),1,https://youtube.com/watch?v=xrtfdA9GpiI,Puppet Combo's New TAXI SIMULATOR HORROR GAME IS PEAK! - Skinfreak,https://store.steampowered.com/app/4007340,4007340,$12.99,"Action, Adventure, Simulation","Single-player, Steam Achievements, Playable without Timed Input, Family Sharing", Black Eyed Priest,Torture Star Video,Indie,Verified,"Oct 16, 2025",319 reviews,,"The city’s most disturbing serial killer is at large and has his sights set on Belle.  Can she escape this maniac’s fleshy, rotting clutches?  Or will she lose her skin to this sicko’s collection?",Windows
This Horror Game is Seriously DISTURBING,1,https://youtube.com/watch?v=toWhVh4bWNU,This Horror Game is Seriously DISTURBING..,,,,,,,,,,,,,,
Night Shift at a Roadside Cafe,1,https://youtube.com/watch?v=Lk2Upd6soyI,Night Shift at a Roadside Cafe..,,,,,,,,,,,,,,
A Man Cannot Escape His House in This Psychological Horror Game,1,https://youtube.com/watch?v=TDmH-2Zs9_8,A Man Cannot Escape His House in This Psychological Horror Game..,,,,,,,,,,,,,,
A New Jurassic Park Inspired Horror Game,1,https://youtube.com/watch?v=0dR0M2PXG9w,A New Jurassic Park Inspired Horror Game..,,,,,,,,,,,,,,
This Chinese Horror Game Just Destroyed Me,1,https://youtube.com/watch?v=IFLOMTY1jgU,This Chinese Horror Game Just Destroyed Me..,,,,,,,,,,,,,,
A Hyper-Realistic Horror Game About Escaping A Bad Dream,1,https://youtube.com/watch?v=nwM0XZryduo,A Hyper-Realistic Horror Game About Escaping A Bad Dream..,,,,,,,,,,,,,,
Bleak Haven,1,https://youtube.com/watch?v=ZDCi9YaQN9o,Bleak Haven - A Cinematic Horror Game Set in a Remote Island..,https://store.steampowered.com/app/3566840,3566840,$14.99,Action,"Single-player, Steam Achievements, Partial Controller Support, Family Sharing",Hitori De Productions,Hitori De Productions,Indie,Unsupported,"Oct 24, 2025",No reviews,,"Bleak Haven is a cinematic survival horror where faith is twisted, every shot matters, and survival hangs on what you can build. Explore haunted ruins, abandoned villages, and face a cult preparing th",Windows
A new VHS horror game about a cop who goes on a cold case,1,https://youtube.com/watch?v=pKIqxj1iSAw,A new VHS horror game about a cop who goes on a cold case..,,,,,,,,,,,,,,
Someone made a new PT inspired horror game,1,https://youtube.com/watch?v=uQZuDqx1mFc,Someone made a new PT inspired horror game..,,,,,,,,,,,,,,
Siren Head,1,https://youtube.com/watch?v=VPQw8oOtPtU,Surviving Siren Head in the Woods..,https://store.steampowered.com/app/1443490,1443490,Free,"Action, Adventure, Free To Play, Indie","Single-player, Steam Achievements, Stats",Prisma Games L.L.C.,Prisma Games L.L.C.,Indie,Playable,"Oct 30, 2020",No reviews,,Siren Head: Awakening is a first-person horror game based on Trevor Henderson's artwork. You're stuck with your car in the middle of a dark forest with nothing but your flashlight. Seek escape by find,"Windows, Mac"
Working Late.. But the Customers Aren’t Human,1,https://youtube.com/watch?v=6NXFM8QMV4E,Working Late.. But the Customers Aren’t Human,,,,,,,,,,,,,,
This new zombie survival game is actually FREE,1,https://youtube.com/watch?v=MMH5E3VXHak,This new zombie survival game is actually FREE..,,,,,,,,,,,,,,
A New Japanese Horror Game Based on Urban Legends,1,https://youtube.com/watch?v=0J8zdPP6-Ew,A New Japanese Horror Game Based on Urban Legends..,,,,,,,,,,,,,,
A horror game where you go camping the countryside,1,https://youtube.com/watch?v=lfRAGc-v160,A horror game where you go camping the countryside..,,,,,,,,,,,,,,
The Nun Inside My Apartment,1,https://youtube.com/watch?v=by6oCmGFmg4,The Nun Inside My Apartment..,,,,,,,,,,,,,,
This might be the CRAZIEST Sleep Paralysis Horror Game,1,https://youtube.com/watch?v=9pBpjStNOVE,This might be the CRAZIEST Sleep Paralysis Horror Game..,,,,,,,,,,,,,,
This game is stressing me out,1,https://youtube.com/watch?v=se1z_Xd7n9s,This game is stressing me out.,,,,,,,,,,,,,,
Phase Zero,1,https://youtube.com/watch?v=Qj0l40a4Ehg,Phase Zero - An Incredible New Zombie Survival Game..,https://store.steampowered.com/app/3462190,3462190,,"Action, Adventure, Indie","Single-player, Full controller support, Family Sharing",SPINA Studio,"SPINA Studio, SUPERHOT PRESENTS",Indie,Unknown,2026,No reviews,,"A grotesque illness binds the town of Flint Peak. Several survivors try to escape with their lives as mysterious creatures roam the streets. Face horrific monsters, solve puzzles and uncover the truth",Windows
A Horror Game about a Paranormal Ghost Hunt,1,https://youtube.com/watch?v=FATIt_2O2as,A Horror Game about a Paranormal Ghost Hunt..,,,,,,,,,,,,,,
Going back to my childhood home,1,https://youtube.com/watch?v=OcedKcjfqOg,Going back to my childhood home..,,,,,,,,,,,,,,
this game BROKE ME,1,https://youtube.com/watch?v=CsgtTDt7LgQ,this game BROKE ME.,,,,,,,,,,,,,,
The paranormal apartment,1,https://youtube.com/watch?v=dVJ7Dx2fs3E,The paranormal apartment..,,,,,,,,,,,,,,
Surviving A Post-Apocalyptic Cyberpunk Horror,1,https://youtube.com/watch?v=QOShuB8X9Es,Surviving A Post-Apocalyptic Cyberpunk Horror..,,,,,,,,,,,,,,
A horror game where you work cleaning up a murder,1,https://youtube.com/watch?v=tTbLQ50gy4U,A horror game where you work cleaning up a murder..,,,,,,,,,,,,,,
The Midnight Walk,1,https://youtube.com/watch?v=OwGSSbkADBw,The Midnight Walk - A NEW HORROR ADVENTURE..,https://store.steampowered.com/app/2863640,2863640,$29.99,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, VR Supported, Family Sharing",MoonHood,Fast Travel Games,AA,Playable,"May 8, 2025","2,336 reviews",79,Follow The Midnight Walk in a dark adventure from the minds behind Lost in Random. Befriend a lost lantern creature and light your way through a world of wonder and terror. Outsmart monsters and marve,Windows
Working Late at a Food Kiosk,1,https://youtube.com/watch?v=pcIywlRg8qM,Working Late at a Food Kiosk..,,,,,,,,,,,,,,
A new photorealistic horror experience,1,https://youtube.com/watch?v=hrFZQdOBaNY,A new photorealistic horror experience..,,,,,,,,,,,,,,
The Missing Case of Gracewind Forest,1,https://youtube.com/watch?v=dOrVsEBhRiE,The Missing Case of Gracewind Forest..,,,,,,,,,,,,,,
Night shift at a roadside diner,1,https://youtube.com/watch?v=qiTJw9tPomE,Night shift at a roadside diner..,,,,,,,,,,,,,,
A Simulator Horror Where You Work Fixing a Haunted House,1,https://youtube.com/watch?v=jrhzHYP7S2c,A Simulator Horror Where You Work Fixing a Haunted House..,,,,,,,,,,,,,,
This creepy stalker from work followed me home,1,https://youtube.com/watch?v=6CC7XVsRBLI,This creepy stalker from work followed me home..,,,,,,,,,,,,,,
One of the best Lovecraftian horror games I've ever played,1,https://youtube.com/watch?v=F121hbh0HYQ,One of the best Lovecraftian horror games I've ever played..,,,,,,,,,,,,,,
Im a paranormal detective investigating the abandoned Gilman family,1,https://youtube.com/watch?v=EoUOaUX3b1M,Im a paranormal detective investigating the abandoned Gilman family..,,,,,,,,,,,,,,
A horror game about INSOMNIA,1,https://youtube.com/watch?v=cAncxsUmUQg,A horror game about INSOMNIA..,,,,,,,,,,,,,,
INCREDIBLE NEW UFO HORROR,1,https://youtube.com/watch?v=HiTMqck-NUk,INCREDIBLE NEW UFO HORROR - Cosmic Fear,,,,,,,,,,,,,,
